25, 2, 17, 10, 7, 
16, 11, 8, 3, 18, 
21, 24, 13, 6, 9, 
12, 15, 22, 19, 4, 
23, 20, 5, 14, 0, 

25, 2, 11, 16, 7, 
12, 17, 8, 3, 10, 
21, 24, 19, 6, 15, 
18, 13, 22, 9, 4, 
23, 20, 5, 14, 0, 

25, 2, 17, 12, 7, 
16, 13, 8, 3, 18, 
21, 24, 15, 6, 11, 
14, 9, 22, 19, 4, 
23, 20, 5, 10, 0, 

0, 2, 19, 14, 7, 
18, 13, 8, 3, 20, 
9, 22, 11, 6, 15, 
12, 17, 24, 21, 4, 
23, 10, 5, 16, 25, 

0, 2, 21, 16, 7, 
20, 15, 8, 3, 12, 
9, 22, 13, 6, 17, 
14, 19, 24, 11, 4, 
23, 10, 5, 18, 25, 

25, 2, 13, 18, 7, 
14, 21, 8, 3, 12, 
9, 24, 19, 6, 17, 
20, 15, 22, 11, 4, 
23, 10, 5, 16, 0, 

25, 2, 13, 20, 7, 
14, 19, 8, 3, 12, 
9, 24, 17, 6, 21, 
18, 15, 22, 11, 4, 
23, 10, 5, 16, 0, 

9, 2, 11, 16, 7, 
12, 17, 8, 3, 20, 
23, 10, 19, 6, 15, 
18, 13, 24, 21, 4, 
0, 22, 5, 14, 25, 

9, 2, 11, 16, 7, 
12, 17, 8, 3, 20, 
23, 10, 19, 6, 15, 
18, 13, 24, 21, 4, 
25, 22, 5, 14, 0, 

9, 2, 13, 18, 7, 
14, 19, 8, 3, 12, 
23, 10, 21, 6, 17, 
20, 15, 24, 11, 4, 
0, 22, 5, 16, 25, 

9, 2, 13, 18, 7, 
14, 19, 8, 3, 12, 
23, 10, 21, 6, 17, 
20, 15, 24, 11, 4, 
25, 22, 5, 16, 0, 

9, 2, 21, 14, 7, 
20, 15, 8, 3, 22, 
25, 10, 17, 6, 13, 
16, 19, 12, 23, 4, 
11, 24, 5, 18, 0, 

9, 2, 23, 18, 7, 
22, 17, 8, 3, 24, 
13, 10, 15, 6, 19, 
16, 21, 12, 25, 4, 
11, 14, 5, 20, 0, 

9, 2, 25, 20, 7, 
24, 19, 8, 3, 16, 
13, 10, 17, 6, 21, 
18, 23, 12, 15, 4, 
11, 14, 5, 22, 0, 

9, 2, 17, 22, 7, 
18, 21, 8, 3, 16, 
13, 10, 19, 6, 23, 
20, 25, 12, 15, 4, 
11, 14, 5, 24, 0, 

9, 2, 17, 22, 7, 
18, 25, 8, 3, 16, 
13, 10, 23, 6, 21, 
24, 19, 12, 15, 4, 
11, 14, 5, 20, 0, 

9, 2, 17, 22, 7, 
18, 23, 8, 3, 16, 
13, 10, 25, 6, 21, 
24, 19, 12, 15, 4, 
11, 14, 5, 20, 0, 

9, 2, 17, 24, 7, 
18, 23, 8, 3, 16, 
13, 10, 21, 6, 25, 
22, 19, 12, 15, 4, 
11, 14, 5, 20, 0, 

9, 2, 21, 16, 7, 
20, 13, 8, 3, 22, 
25, 10, 15, 6, 17, 
14, 19, 12, 23, 4, 
11, 24, 5, 18, 0, 

23, 2, 17, 10, 0, 
16, 11, 22, 3, 18, 
21, 24, 13, 6, 9, 
12, 15, 8, 19, 4, 
25, 20, 5, 14, 7, 

0, 2, 11, 16, 25, 
12, 17, 24, 3, 20, 
23, 10, 19, 6, 15, 
18, 13, 8, 21, 4, 
9, 22, 5, 14, 7, 

25, 2, 11, 16, 0, 
12, 17, 24, 3, 20, 
23, 10, 19, 6, 15, 
18, 13, 8, 21, 4, 
9, 22, 5, 14, 7, 

0, 2, 13, 18, 25, 
14, 19, 24, 3, 12, 
23, 10, 21, 6, 17, 
20, 15, 8, 11, 4, 
9, 22, 5, 16, 7, 

25, 2, 13, 18, 0, 
14, 19, 24, 3, 12, 
23, 10, 21, 6, 17, 
20, 15, 8, 11, 4, 
9, 22, 5, 16, 7, 

11, 2, 21, 14, 0, 
20, 15, 12, 3, 22, 
25, 10, 17, 6, 13, 
16, 19, 8, 23, 4, 
9, 24, 5, 18, 7, 

11, 2, 15, 20, 0, 
16, 21, 12, 3, 14, 
25, 10, 23, 6, 19, 
22, 17, 8, 13, 4, 
9, 24, 5, 18, 7, 

11, 2, 21, 16, 0, 
20, 17, 12, 3, 22, 
25, 10, 19, 6, 15, 
18, 13, 8, 23, 4, 
9, 24, 5, 14, 7, 

11, 2, 23, 18, 0, 
22, 17, 12, 3, 24, 
13, 10, 15, 6, 19, 
16, 21, 8, 25, 4, 
9, 14, 5, 20, 7, 

11, 2, 25, 20, 0, 
24, 19, 12, 3, 16, 
13, 10, 17, 6, 21, 
18, 23, 8, 15, 4, 
9, 14, 5, 22, 7, 

11, 2, 17, 22, 0, 
